monat,tage_gebuehren,tage_im_monat,tage_hashrate,hashrate_th_s,reward_kas_tag,gebuehren_kas_tag,reward_kas_je_th_tag,gebuehren_kas_je_th_tag,gebuehren_zu_reward_pct,gebuehren_am_ertrag_pct,ertrag_kas_je_th_tag
2023-10,31,31,31,46819.5,14430886,1094.16,308.223597,0.02336976,0.0076,0.0076,308.246967
2023-11,30,30,30,60807.4,13592109,602.69,223.527042,0.00991143,0.0044,0.0044,223.536954
2023-12,31,31,31,110475.5,12831226,71.11,116.145448,0.00064369,0.0006,0.0006,116.146091
2024-01,31,31,31,144952.2,12352080,801.25,85.214855,0.00552768,0.0065,0.0065,85.220383
2024-02,29,29,29,168529.2,11584867,293.33,68.740994,0.00174051,0.0025,0.0025,68.742735
2024-03,31,31,31,182656.3,10807358,236.51,59.167731,0.00129482,0.0022,0.0022,59.169025
2024-04,30,30,30,217050.3,10188064,29.74,46.938729,0.00013700,0.0003,0.0003,46.938866
2024-05,31,31,31,258626.3,9597959,159.11,37.111295,0.00061520,0.0017,0.0017,37.111910
2024-06,30,30,30,332762.7,9049858,63426.13,27.196127,0.19060468,0.7009,0.6960,27.386732
2024-07,31,31,31,453139.4,8548163,40083.63,18.864311,0.08845762,0.4689,0.4667,18.952768
2024-08,31,31,31,789931.8,8063693,2442.64,10.208087,0.00309221,0.0303,0.0303,10.211180
2024-09,30,30,30,1044738.9,7603979,1558445.29,7.278354,1.49170795,20.4951,17.0091,8.770062
2024-10,31,31,31,1155747.8,7217497,1754097.49,6.244872,1.51771644,24.3034,19.5517,7.762588
2024-11,30,30,30,1308856.1,6768700,771220.63,5.171462,0.58923257,11.3939,10.2285,5.760695
2024-12,31,31,31,1374627.1,6389730,467735.02,4.648337,0.34026320,7.3201,6.8208,4.988600
2025-01,31,31,31,1379005.4,6024216,88546.77,4.368522,0.06421061,1.4698,1.4486,4.432733
2025-02,22,28,28,1358649.9,5682468,15512.77,4.182437,0.01141778,0.2730,0.2723,4.193855
2025-03,31,31,31,1231174.8,5385732,44723.21,4.374466,0.03632564,0.8304,0.8236,4.410792
2025-04,30,30,30,1002770.5,5079465,16785.70,5.065431,0.01673932,0.3305,0.3294,5.082171
2025-05,31,31,31,1055338.7,4797274,12549.79,4.545720,0.01189172,0.2616,0.2609,4.557612
2025-06,30,30,30,955399.9,4527583,31014.42,4.738941,0.03246224,0.6850,0.6804,4.771403
2025-07,31,31,31,828840.4,4300879,7516.27,5.189032,0.00906842,0.1748,0.1745,5.198100
2025-08,31,31,31,690386.5,4026680,16394.36,5.832501,0.02374664,0.4071,0.4055,5.856248
2025-09,30,30,30,689379.2,3797536,17666.38,5.508631,0.02562650,0.4652,0.4631,5.534257
2025-10,31,31,31,654702.9,3586613,8696.59,5.478230,0.01328326,0.2425,0.2419,5.491513
2025-11,30,30,30,612442.8,3382975,4491.69,5.523741,0.00733406,0.1328,0.1326,5.531075
2025-12,31,31,31,515849.7,3195250,6225.61,6.194150,0.01206864,0.1948,0.1945,6.206219
2026-01,30,31,31,452321.7,3011872,2231.44,6.658694,0.00493329,0.0741,0.0740,6.663627
2026-02,28,28,28,425097.5,2841382,1470.14,6.684070,0.00345836,0.0517,0.0517,6.687529
2026-03,27,31,31,411014.4,2693078,2143.74,6.552273,0.00521572,0.0796,0.0795,6.557489
2026-04,30,30,30,411365.3,2539681,2040.45,6.173785,0.00496020,0.0803,0.0803,6.178745
2026-05,31,31,31,391078.8,2398673,2020.75,6.133477,0.00516712,0.0842,0.0842,6.138644
2026-06,30,30,30,390861.3,2261796,3094.83,5.786697,0.00791798,0.1368,0.1366,5.794615
2026-07,31,31,31,314153.2,2136131,2631.49,6.799647,0.00837644,0.1232,0.1230,6.808024
2026-08,31,31,31,317072.2,2014262,2244.51,6.352690,0.00707886,0.1114,0.1113,6.359769
2026-09,25,25,25,332737.3,1902496,2549.79,5.717710,0.00766306,0.1340,0.1338,5.725373
